relative_path,status,size_mb,sample_rows,estimated_rows_if_small,n_columns,label_col
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00000-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,67.079,5000,238687,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00001-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,61.494,5000,218805,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00002-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,77.341,5000,275258,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00003-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,64.899,5000,231023,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00004-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,63.903,5000,227491,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00005-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,67.452,5000,240046,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00006-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,65.66,5000,233793,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00007-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,64.042,5000,227910,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00008-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,69.225,5000,246327,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00009-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,63.949,5000,227616,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00010-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,70.654,5000,251392,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00011-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,62.361,5000,221928,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00012-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,67.011,5000,238476,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00013-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,67.067,5000,238761,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00014-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,60.636,5000,215838,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00015-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,75.475,5000,268649,47,label
