label,bounded_count_first_rows
DDoS-ICMP_Flood,232167
DDoS-UDP_Flood,174751
DDoS-TCP_Flood,144200
DDoS-PSHACK_Flood,131784
DDoS-SYN_Flood,129798
DDoS-RSTFINFlood,129480
DDoS-SynonymousIP_Flood,115926
DoS-UDP_Flood,105949
DoS-TCP_Flood,85346
DoS-SYN_Flood,65134
BenignTraffic,35053
Mirai-greeth_flood,31856
Mirai-udpplain,28795
Mirai-greip_flood,24440
DDoS-ICMP_Fragmentation,14341
MITM-ArpSpoofing,9886
DDoS-UDP_Fragmentation,9379
DDoS-ACK_Fragmentation,9253
DNS_Spoofing,5859
Recon-HostDiscovery,4308
Recon-OSScan,3166
Recon-PortScan,2563
DoS-HTTP_Flood,2351
VulnerabilityScan,1160
DDoS-HTTP_Flood,951
DDoS-SlowLoris,790
DictionaryBruteForce,417
SqlInjection,188
BrowserHijacking,184
CommandInjection,177
XSS,124
Backdoor_Malware,106
Recon-PingSweep,71
Uploading_Attack,47
