scenario,cti_mode,seed,round,accuracy,macro_f1,normal_fpr,ece,brier,mean_confidence,comm_mb_round,inference_ms_per_1k,model_mb,train_samples,test_samples,n_cti_columns,file,family_dos_ddos_f1,family_dos_ddos_recall,family_injection_f1,family_injection_recall,family_malware_credential_f1,family_malware_credential_recall,family_mitm_f1,family_mitm_recall,family_normal_f1,family_normal_recall,family_reconnaissance_f1,family_reconnaissance_recall
random_cti,random_cti,42,30,0.5574954846478025,0.440206202226282,0.047325102880658436,0.1204488193464882,0.5762054387086432,0.43704667687416077,0.0858306884765625,0.33185081909921277,0.004291534423828125,126241,31559,18,edge_iiot_ml_clean_full_random_cti_fedavg_avg_none_label_skew_seed42.json,0.7759530502534825,0.7963356615042007,0.3332521315465151,0.2233104799216454,0.3249516441001158,0.2565091610414657,0.4423076923073449,0.28395061728394944,0.6225210084029212,0.9526748971193414,0.6508678931499072,0.7403641522818631
random_cti,random_cti,43,30,0.5703919642574226,0.4633415046348691,0.07242798353909465,0.13576610715897908,0.5758621630302463,0.43462586402893066,0.0858306884765625,0.32239164738971504,0.004291534423828125,126241,31559,18,edge_iiot_ml_clean_full_random_cti_fedavg_avg_none_label_skew_seed43.json,0.7799266091436039,0.7960319870432229,0.3544825912891973,0.23849167482859937,0.4107689537182178,0.3666023786563805,0.4514106583068441,0.29629629629629506,0.6431730632039983,0.9275720164609051,0.7036477444415498,0.7708678174509339
random_cti,random_cti,44,30,0.5616464400012675,0.44819428630441926,0.05246913580246913,0.12501952639871564,0.5785542149175149,0.4366269111633301,0.0858306884765625,0.32684413320953365,0.004291534423828125,126241,31559,18,edge_iiot_ml_clean_full_random_cti_fedavg_avg_none_label_skew_seed44.json,0.777339373568598,0.8076728413807064,0.34296116504816215,0.23065621939275216,0.33787295976667064,0.26117004178720665,0.465838509316397,0.30864197530864074,0.6248727864843939,0.9475308641975307,0.6490847036917199,0.7420193899266965
reliability_gate_alpha0p5,reliability_gate,42,30,0.5849995246997687,0.4677311422183467,0.04197530864197531,0.10683798390665247,0.5388419193719506,0.47835707664489746,0.107574462890625,0.34205275832520426,0.00537872314453125,126241,31559,37,edge_iiot_ml_clean_full_reliability_gate_alpha0p5_fedavg_avg_none_label_skew_seed42.json,0.8007283026497123,0.801295677700172,0.39438580211071267,0.27750571335292196,0.38543939694457796,0.31227900996464153,0.4423076923073449,0.28395061728394944,0.5893670886071689,0.9580246913580245,0.7987340288355097,0.805627807992433
source_gate_alpha0p25,source_gate,42,30,0.5740676193795747,0.45109148744650723,0.03580246913580247,0.09918533754048833,0.5415335938738194,0.47849562764167786,0.1247406005859375,0.3597118413142256,0.006237030029296875,126241,31559,52,edge_iiot_ml_clean_full_source_gate_alpha0p25_fedavg_avg_none_label_skew_seed42.json,0.7999392220416391,0.799372406113979,0.3482611348379385,0.23294156056154094,0.35343247097122044,0.2788492446158791,0.4423076923073449,0.28395061728394944,0.5629505045646994,0.9641975308641973,0.7941911677176285,0.7888389690234097
source_gate_alpha0p5_drop0p3,source_gate,42,30,0.5769511074495389,0.46753297852363856,0.04094650205761317,0.12182309771478206,0.5578484863119696,0.455128014087677,0.1247406005859375,0.35877651383175213,0.006237030029296875,126241,31559,52,edge_iiot_ml_clean_full_source_gate_alpha0p5_drop0p3_fedavg_avg_none_label_skew_seed42.json,0.8026666666661666,0.792185443870837,0.3413173652690702,0.23261508325171398,0.37422528283277645,0.30568948891031816,0.5484633569735845,0.9547325102880619,0.5888818698669148,0.9590534979423867,0.7556663106675905,0.752896665878458
source_gate_alpha0p5,source_gate,42,30,0.5739408726512247,0.45108161773002897,0.0360082304526749,0.09924439582934173,0.5415649649070164,0.47831010818481445,0.1247406005859375,0.3713634462429616,0.006237030029296875,126241,31559,52,edge_iiot_ml_clean_full_source_gate_alpha0p5_fedavg_avg_none_label_skew_seed42.json,0.7997567896225237,0.7988662820123493,0.3472629521012852,0.23196212863206003,0.35383833248555446,0.2796528447444551,0.4423076923073449,0.28395061728394944,0.562999459231696,0.9639917695473249,0.7940057088482153,0.7893118940647905
source_gate_alpha0p5,source_gate,43,30,0.5984029912227891,0.4930315646574363,0.04979423868312757,0.13112295017563808,0.5413191757485597,0.4709932804107666,0.1247406005859375,0.34603840425961496,0.006237030029296875,126241,31559,52,edge_iiot_ml_clean_full_source_gate_alpha0p5_fedavg_avg_none_label_skew_seed43.json,0.7982198952874585,0.7716368053446704,0.42922578482807866,0.3135814560888018,0.47206284755886574,0.42976534876245576,0.45569620253128734,0.29629629629629506,0.6329495614030644,0.9502057613168723,0.7929784824457068,0.8278552849373373
source_gate_alpha0p5,source_gate,44,30,0.5823378434044171,0.46767467889927156,0.03806584362139918,0.11103911925685765,0.5449153998938376,0.47343504428863525,0.1247406005859375,0.4721352387602671,0.006237030029296875,126241,31559,52,edge_iiot_ml_clean_full_source_gate_alpha0p5_fedavg_avg_none_label_skew_seed44.json,0.8034546452992852,0.8145561291628706,0.3905599259597906,0.27554684949396013,0.364193616571099,0.27692060430729665,0.4702194357363112,0.30864197530864074,0.5718654434246585,0.9619341563786007,0.771414821943677,0.7580988413336485
source_gate_alpha0p5_poison0p2,source_gate,42,30,0.5696631705694096,0.4529425696319603,0.060699588477366256,0.1143125541761516,0.5598909209243531,0.4553506076335907,0.1247406005859375,0.5538454640499952,0.006237030029296875,126241,31559,52,edge_iiot_ml_clean_full_source_gate_alpha0p5_poison0p2_fedavg_avg_none_label_skew_seed42.json,0.7917465442432694,0.7943111650976818,0.3621936989494172,0.2533463924257264,0.3716463716458984,0.30167148826743806,0.43949044585951974,0.28395061728394944,0.5894886363632056,0.9393004115226335,0.7246968151417424,0.7559706786474342
source_gate_alpha0p75,source_gate,42,30,0.5742260527900124,0.4515020753546319,0.0360082304526749,0.09971673631013477,0.5415959134393914,0.47813159227371216,0.1247406005859375,0.3803539085545673,0.006237030029296875,126241,31559,52,edge_iiot_ml_clean_full_source_gate_alpha0p75_fedavg_avg_none_label_skew_seed42.json,0.7999189134395972,0.7988662820123493,0.3464547677257852,0.2313091740124061,0.3545177664969965,0.28061716489874633,0.4423076923073449,0.28395061728394944,0.5635412281225187,0.9639917695473249,0.7943447784241167,0.7904942066682429
traffic_only,traffic_only,42,30,0.5573687379194524,0.43955903456067635,0.04691358024691358,0.12046091323496216,0.576046334466225,0.4369078278541565,0.0652313232421875,0.31709499667314006,0.003261566162109375,126241,31559,0,edge_iiot_ml_clean_full_traffic_only_fedavg_avg_none_label_skew_seed42.json,0.7749052051011893,0.7964368863245266,0.33007573906632254,0.2205354227881162,0.32198015751206654,0.25297332047573123,0.4423076923073449,0.28395061728394944,0.6224133297496273,0.9530864197530863,0.6471197679232538,0.7384724521163394
traffic_only,traffic_only,43,30,0.5722931651826737,0.46394261191629566,0.06646090534979424,0.13788116065356032,0.5757283978410968,0.43441200256347656,0.0652313232421875,0.310816977721997,0.003261566162109375,126241,31559,0,edge_iiot_ml_clean_full_traffic_only_fedavg_avg_none_label_skew_seed43.json,0.7786621842087253,0.7971454600668082,0.353743152768945,0.2371857655892915,0.4225960241067302,0.3775313404050144,0.4514106583068441,0.29629629629629506,0.6483280937406154,0.9335390946502056,0.70575508437856,0.7713407424923148
traffic_only,traffic_only,44,30,0.5631674007414683,0.4489556138832464,0.050205761316872426,0.12671983576566195,0.578390569718575,0.4364475607872009,0.0652313232421875,0.3103384771384172,0.003261566162109375,126241,31559,0,edge_iiot_ml_clean_full_traffic_only_fedavg_avg_none_label_skew_seed44.json,0.7766349699199354,0.810203461888855,0.338800489595708,0.22592229840026115,0.3301540718997663,0.25313404050144644,0.465838509316397,0.30864197530864074,0.6256014095001341,0.9497942386831274,0.6465623713457411,0.7427287774887679
weak_cti_concat,weak_cti_concat,42,30,0.6033461136284419,0.48923726131858536,0.043827160493827164,0.12123687462016255,0.5355343186848954,0.4821092188358307,0.0858306884765625,0.3198050635323621,0.004291534423828125,126241,31559,18,edge_iiot_ml_clean_full_weak_cti_concat_fedavg_avg_none_label_skew_seed42.json,0.8005854741831168,0.8028140500050611,0.3963154864705111,0.2809337251061051,0.47189800682299393,0.42237222757955634,0.4423076923073449,0.28395061728394944,0.6255637073428995,0.9561728395061727,0.7893660531692341,0.7758335303854338
weak_cti_concat,weak_cti_concat,43,30,0.605912734877531,0.505107377938434,0.0816872427983539,0.12755770701882566,0.5346548762141533,0.4783802330493927,0.0858306884765625,0.32512535251235297,0.004291534423828125,126241,31559,18,edge_iiot_ml_clean_full_weak_cti_concat_fedavg_avg_none_label_skew_seed43.json,0.8041524635879722,0.7880352262374732,0.4323961017134709,0.31505060398302315,0.4699350871194199,0.44214079074252643,0.45569620253128734,0.29629629629629506,0.6328701077703932,0.918312757201646,0.8033559360987991,0.8264365098131944
weak_cti_concat,weak_cti_concat,44,30,0.6055008080103932,0.4987787884680526,0.04835390946502058,0.1280413922953543,0.5377059165310243,0.4794120788574219,0.0858306884765625,0.32144244114316645,0.004291534423828125,126241,31559,18,edge_iiot_ml_clean_full_weak_cti_concat_fedavg_avg_none_label_skew_seed44.json,0.803243619719912,0.8171879744913452,0.414152869130898,0.2980737838720208,0.4761639769982134,0.4125683060109289,0.4702194357363112,0.30864197530864074,0.6236095193146001,0.9516460905349793,0.7745916515421498,0.7569165287301961
