scenario,cti_mode,seed,round,model,hidden,accuracy,macro_f1,normal_fpr,ece,brier,mean_confidence,comm_mb_round,inference_ms_per_1k,model_mb,train_samples,test_samples,n_features,n_cti_columns,file,family_dos_ddos_f1,family_dos_ddos_recall,family_injection_f1,family_injection_recall,family_malware_credential_f1,family_malware_credential_recall,family_mitm_f1,family_mitm_recall,family_normal_f1,family_normal_recall,family_reconnaissance_f1,family_reconnaissance_recall
random_cti,random_cti,42,20,numpy_mlp,64,0.04467822174340125,0.029234934461924964,0.9522633744855967,0.22496858216627852,1.037071905923605,0.2696467936038971,0.4405975341796875,0.7629999049415394,0.022029876708984375,126241,31559,74,18,edge_iiot_ml_clean_full_random_cti_mlp_fedavg_label_skew_seed42.json,0.21373861162574018,0.2683469986840773,0.14417572146238078,0.10071825008161932,0.007504690431466768,0.003857280617164898,0.0,0.0,0.07431133888498484,0.04773662551440328,0.18532360443694987,0.36935445731851496
random_cti,random_cti,43,20,numpy_mlp,64,0.05475458664723217,0.03982090875455454,0.994238683127572,0.20442367315654988,1.0332794218541375,0.2566169798374176,0.4405975341796875,0.7518753129087593,0.022029876708984375,126241,31559,74,18,edge_iiot_ml_clean_full_random_cti_mlp_fedavg_label_skew_seed43.json,0.4754031849066913,0.47444073286769906,0.04098715543347958,0.023179888997714657,0.35089974293012843,0.4826422372227579,0.0,0.0,0.011224694327470164,0.005761316872427982,0.21581712338450101,0.35942303144951515
random_cti,random_cti,44,20,numpy_mlp,64,0.05938084223200989,0.03706947425622488,0.9946502057613169,0.15392606992883265,1.0012177493893577,0.21330690383911133,0.4405975341796875,0.8939924585667467,0.022029876708984375,126241,31559,74,18,edge_iiot_ml_clean_full_random_cti_mlp_fedavg_label_skew_seed44.json,0.2743506493501493,0.2737119141613523,0.33123209169006856,0.4245837414299706,0.13831258644487623,0.16072002571520408,0.0,0.0,0.010354440461904906,0.005349794238683127,0.12679529957880908,0.10333412154173562
source_gate_alpha0p5,source_gate,42,20,numpy_mlp,64,0.013086599702145188,0.0072217611170258544,1.0,0.26864846798229014,1.0518900031047234,0.2817350924015045,0.6114959716796875,0.8191158148217497,0.030574798583984375,126241,31559,109,52,edge_iiot_ml_clean_full_source_gate_alpha0p5_mlp_fedavg_label_skew_seed42.json,0.03219967609782192,0.01710699463508452,0.028899835795945728,0.021547502448579822,0.06095032007885104,0.05432336869173898,0.0,0.0,0.0,0.0,0.21247113163946088,0.6852683849609835
source_gate_alpha0p5,source_gate,43,20,numpy_mlp,64,0.08070597927690991,0.03915027010716439,0.8567901234567902,0.11753214118654173,1.0015420290808215,0.19823813438415527,0.6114959716796875,0.8368089926803661,0.030574798583984375,126241,31559,109,52,edge_iiot_ml_clean_full_source_gate_alpha0p5_mlp_fedavg_label_skew_seed43.json,0.3523697380037243,0.2423322198603097,0.1759446894739176,0.12047012732615081,0.45220649000010027,0.6595949855351976,0.0,0.0,0.09775280898831441,0.14320987654320985,0.2870472008776687,0.24733979664223216
source_gate_alpha0p5,source_gate,44,20,numpy_mlp,64,0.027313919959441046,0.016264552434998487,1.0,0.23912886889976806,1.0513241133069677,0.26644277572631836,0.6114959716796875,0.8157020818124885,0.030574798583984375,126241,31559,109,52,edge_iiot_ml_clean_full_source_gate_alpha0p5_mlp_fedavg_label_skew_seed44.json,0.14011021221665404,0.12096366028950296,0.13723614565350004,0.17564479268690825,0.04464157962492978,0.025072324011571837,0.0,0.0,0.0,0.0,0.20690410958868496,0.44644123906360833
traffic_only,traffic_only,42,20,numpy_mlp,64,0.07024937418802878,0.042687618005693345,0.9991769547325103,0.12436732796104526,0.9744722959583708,0.19461669027805328,0.3527069091796875,0.8994395576546664,0.017635345458984375,126241,31559,56,0,edge_iiot_ml_clean_full_traffic_only_mlp_fedavg_label_skew_seed42.json,0.38155061019340997,0.6456119040388703,0.001496110113551341,0.0008161932745674174,0.06278916060756383,0.06107360977177755,0.0,0.0,0.0015063076631848225,0.0008230452674897118,0.14109281437092722,0.08914637030030738
traffic_only,traffic_only,43,20,numpy_mlp,64,0.09236667828511677,0.05792882949686742,0.8664609053497943,0.12668353821366354,0.993150497604942,0.21905021369457245,0.3527069091796875,0.8136595899758384,0.017635345458984375,126241,31559,56,0,edge_iiot_ml_clean_full_traffic_only_mlp_fedavg_label_skew_seed43.json,0.2624461286962955,0.17876303269561694,0.28622730597810325,0.3512895853738165,0.051702073201620756,0.032465445194471226,0.000766724170890672,0.008230452674897085,0.1299169252322098,0.13353909465020575,0.2865270235319907,0.393000709387562
traffic_only,traffic_only,44,20,numpy_mlp,64,0.1048512310275991,0.04482337961112248,1.0,0.09846173420445979,0.9579619027834934,0.19179078936576843,0.3527069091796875,0.739705567351283,0.017635345458984375,126241,31559,56,0,edge_iiot_ml_clean_full_traffic_only_mlp_fedavg_label_skew_seed44.json,0.5520143487854227,0.8100010122482031,0.1130405175344758,0.08129285014691477,0.10271480548536115,0.0589842494374799,0.0,0.0,0.0,0.0,0.07985739750398661,0.10593520926933078
weak_cti_concat,weak_cti_concat,42,20,numpy_mlp,64,0.06790455971355239,0.03214628048403402,0.9497942386831276,0.2060071378832984,1.0291531795654554,0.2739116847515106,0.4405975341796875,0.7736133907902599,0.022029876708984375,126241,31559,74,18,edge_iiot_ml_clean_full_weak_cti_concat_mlp_fedavg_label_skew_seed42.json,0.28550440744323036,0.41309849175017704,0.12133316689515879,0.07933398628795298,0.00693678070309989,0.00353584056573449,0.0,0.0,0.07646505797519301,0.05020576131687242,0.16589181610170328,0.2657838732560889
