cti_mode,family,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean
random_cti,dos_ddos,0.92983,0.010626,0.904343,0.002254,0.916891,0.005634,9879.0
random_cti,injection,0.791371,0.016588,0.91011,0.028618,0.846528,0.020281,6126.0
random_cti,malware_credential,0.939517,0.004402,0.739419,0.016818,0.827491,0.011803,6222.0
random_cti,mitm,0.374226,0.014672,1.0,0.0,0.544525,0.015497,243.0
random_cti,normal,0.983324,0.013639,0.986557,0.006174,0.984927,0.009842,4860.0
random_cti,reconnaissance,0.889316,0.006192,0.942461,0.008206,0.915085,0.002667,4229.0
source_gate,dos_ddos,0.919695,0.011409,0.906468,0.003952,0.91302,0.007265,9879.0
source_gate,injection,0.789041,0.018684,0.895418,0.004528,0.838801,0.01148,6126.0
source_gate,malware_credential,0.919314,0.006549,0.741241,0.021261,0.820634,0.014377,6222.0
source_gate,mitm,0.382797,0.013545,1.0,0.0,0.553564,0.014186,243.0
source_gate,normal,0.987994,0.003693,0.966187,0.026598,0.976853,0.014333,4860.0
source_gate,reconnaissance,0.885246,0.006139,0.934027,0.009222,0.908945,0.002951,4229.0
traffic_only,dos_ddos,0.924362,0.020234,0.912407,0.00593,0.918249,0.009197,9879.0
traffic_only,injection,0.808088,0.017492,0.903199,0.032092,0.852868,0.020954,6126.0
traffic_only,malware_credential,0.946668,0.012332,0.747884,0.027654,0.835295,0.013881,6222.0
traffic_only,mitm,0.37499,0.014686,1.0,0.0,0.545334,0.015442,243.0
traffic_only,normal,0.987899,0.016702,0.993278,0.001323,0.990541,0.009086,4860.0
traffic_only,reconnaissance,0.890637,0.014275,0.948215,0.01147,0.918411,0.004047,4229.0
weak_cti_concat,dos_ddos,0.927136,0.014966,0.908864,0.004543,0.91785,0.006211,9879.0
weak_cti_concat,injection,0.79873,0.00507,0.908695,0.020496,0.850068,0.007541,6126.0
weak_cti_concat,malware_credential,0.955758,0.005451,0.736633,0.003835,0.831996,0.001749,6222.0
weak_cti_concat,mitm,0.382596,0.013526,1.0,0.0,0.553353,0.014163,243.0
weak_cti_concat,normal,0.984371,0.010829,0.992524,0.00146,0.988409,0.005235,4860.0
weak_cti_concat,reconnaissance,0.879159,0.000919,0.950185,0.001574,0.913292,0.000234,4229.0
