dataset,split_type,method,round,poison_ratio,n_seeds,seeds,macro_f1_mean,macro_f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std,fpr_mean,fpr_std,poison_retained_macro_f1_mean,poison_retained_macro_f1_std,communication_mb_per_round_mean,communication_mb_per_round_std,inference_latency_ms_mean,inference_latency_ms_std,model_size_mb_mean,model_size_mb_std,runtime_sec_mean,runtime_sec_std
Edge-IIoTset-light,dirichlet,centralized,final,0.0,3,42;43;44,0.574998,0.026178,0.945286,0.004124,0.665136,0.019425,0.02692,0.001545,,,0.0,0.0,0.000904,6.3e-05,0.037712,0.0,1.144591,0.024616
Edge-IIoTset-light,dirichlet,fedavg,final,0.0,3,42;43;44,0.460561,0.023546,0.883384,0.01066,0.521921,0.027321,0.036544,0.00135,,,0.603394,0.0,0.000898,4.8e-05,0.037712,0.0,11.577002,0.033605
Edge-IIoTset-light,dirichlet,fedavg,poison_final,0.1,3,42;43;44,0.430219,0.033012,0.862827,0.018421,0.482061,0.030329,0.037621,0.001208,0.93422,0.05401,0.603394,0.0,0.000874,1.6e-05,0.037712,0.0,11.69032,0.149093
Edge-IIoTset-light,dirichlet,fedavg,poison_final,0.2,3,42;43;44,0.413084,0.049043,0.853614,0.022365,0.467345,0.037425,0.038882,0.002527,0.895143,0.065869,0.603394,0.0,0.000907,4e-05,0.037712,0.0,11.513975,0.072966
Edge-IIoTset-light,dirichlet,fedavg,poison_final,0.3,3,42;43;44,0.327813,0.078721,0.829695,0.040216,0.414242,0.076457,0.044637,0.004027,0.707113,0.13861,0.603394,0.0,0.000858,7.6e-05,0.037712,0.0,11.533262,0.135274
Edge-IIoTset-light,dirichlet,fedprox,final,0.0,3,42;43;44,0.462014,0.024519,0.88262,0.010809,0.520674,0.027175,0.036466,0.00136,,,0.603394,0.0,0.000884,3.6e-05,0.037712,0.0,11.653427,0.068158
Edge-IIoTset-light,dirichlet,fedprox,poison_final,0.1,3,42;43;44,0.429423,0.03221,0.861791,0.018745,0.481335,0.030524,0.037666,0.001162,0.929592,0.050959,0.603394,0.0,0.000904,0.000111,0.037712,0.0,11.687428,0.0696
Edge-IIoTset-light,dirichlet,fedprox,poison_final,0.2,3,42;43;44,0.412764,0.0485,0.852413,0.022403,0.463756,0.041889,0.038942,0.002501,0.891566,0.061053,0.603394,0.0,0.000906,2.4e-05,0.037712,0.0,11.595839,0.043474
Edge-IIoTset-light,dirichlet,fedprox,poison_final,0.3,3,42;43;44,0.329506,0.079449,0.828982,0.040487,0.412979,0.076958,0.044549,0.004087,0.70847,0.139176,0.603394,0.0,0.000863,2.2e-05,0.037712,0.0,11.621906,0.108185
Edge-IIoTset-light,dirichlet,local_only,final,0.0,3,42;43;44,0.262161,0.021232,0.806643,0.03838,0.439659,0.051288,0.042334,0.003322,,,0.0,0.0,0.000847,6.9e-05,0.037712,0.0,3.920269,0.019572
