dataset,seed,scenario,delta_accuracy_vs_traffic,delta_macro_f1_vs_traffic,delta_normal_fpr_vs_traffic,delta_ece_vs_traffic,delta_brier_vs_traffic
nf_bot_iot,42,weak_cti_concat,0.10416115899117012,0.08776049551797432,-0.0736018545349175,-0.0040301200257902015,-0.08625082069605461
nf_bot_iot,42,source_gate,0.10204621160048649,0.08560442282582653,-0.09881193856853089,-0.028588151097241006,-0.09214374531833319
nf_bot_iot,42,random_cti,0.010416115899117007,0.009378484542540422,0.0,0.0002496745205943923,-0.00010990513748432296
nf_bot_iot,43,weak_cti_concat,0.09459102204832648,0.06113339777607918,-0.0846131556070704,-0.0035855158653717023,-0.08870943438594425
nf_bot_iot,43,source_gate,0.10030138000317235,0.08752484137147476,-0.0930165169516083,-0.014777701096929705,-0.09472242269866388
nf_bot_iot,43,random_cti,0.00412414741183309,0.003743236337297784,0.0,0.005616438424751791,0.00020192968487253715
nf_bot_iot,44,weak_cti_concat,0.10151747475281558,0.0805025159546866,-0.0788177339901478,0.007539154542454997,-0.08492966951960229
nf_bot_iot,44,source_gate,0.10008988526410412,0.08626694326969275,-0.0866415531729934,-0.0114994418713718,-0.0916210956879398
nf_bot_iot,44,random_cti,0.006873579019721965,0.0048127761650911816,0.0,0.004191108537629197,1.5753439711607697e-05
nf_ton_iot,42,weak_cti_concat,0.1450954203375029,0.16302962378295266,-0.059,0.007397927029425599,-0.09456501839460241
nf_ton_iot,42,source_gate,0.14417075488660003,0.16169597975404837,-0.14880000000000002,-0.018033371035091797,-0.11754588953033507
nf_ton_iot,42,random_cti,-0.006446973004905876,0.00924541528912759,0.0,0.0011641471036377,0.00039267121975394836
nf_ton_iot,43,weak_cti_concat,0.14481288367194928,0.1614952489898509,-0.05399999999999999,0.003505079025029112,-0.09400915759645556
nf_ton_iot,43,source_gate,0.1596589011892226,0.1789893924143805,-0.1498,-0.016743594359503997,-0.11691301912064789
nf_ton_iot,43,random_cti,-0.001489738782010086,0.015290585196517215,0.0,0.0049286485640723104,0.00043564592379341516
nf_ton_iot,44,weak_cti_concat,0.15334035394138645,0.1673906860957331,-0.05980000000000002,0.016953470700326004,-0.09459338676764883
nf_ton_iot,44,source_gate,0.1622787866334472,0.1741449979778278,-0.1514,-0.014816768404465802,-0.11719075220299602
nf_ton_iot,44,random_cti,-0.0008219248452470129,0.016321321105099595,0.00019999999999997797,0.005737260360248395,0.0003304626767548502
