dataset,scenario,family,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean
nf_bot_iot,random_cti,benign,0.88956,0.005212,0.869603,0.004026,0.879459,0.00299,3451.0
nf_bot_iot,random_cti,ddos,0.481398,0.00447,0.364667,0.015807,0.414872,0.011,5000.0
nf_bot_iot,random_cti,dos,0.485363,0.005471,0.366067,0.014063,0.417306,0.011067,5000.0
nf_bot_iot,random_cti,reconnaissance,0.811879,0.006042,0.529933,0.006941,0.641268,0.006008,5000.0
nf_bot_iot,random_cti,theft,0.068217,0.001758,0.696248,0.005447,0.124252,0.002851,462.0
nf_bot_iot,source_gate,benign,0.880152,0.00402,0.962426,0.002931,0.919445,0.001586,3451.0
nf_bot_iot,source_gate,ddos,0.47622,0.010535,0.428067,0.024163,0.45071,0.017073,5000.0
nf_bot_iot,source_gate,dos,0.476704,0.002801,0.540533,0.021691,0.506476,0.009511,5000.0
nf_bot_iot,source_gate,reconnaissance,0.933971,0.005799,0.579533,0.030781,0.714918,0.023649,5000.0
nf_bot_iot,source_gate,theft,0.17975,0.012337,0.726551,0.005447,0.288045,0.015882,462.0
nf_bot_iot,traffic_only,benign,0.889198,0.003847,0.869603,0.004026,0.879285,0.002538,3451.0
nf_bot_iot,traffic_only,ddos,0.470279,0.005571,0.335467,0.069865,0.388979,0.049835,5000.0
nf_bot_iot,traffic_only,dos,0.475832,0.00344,0.365733,0.046242,0.41257,0.030603,5000.0
nf_bot_iot,traffic_only,reconnaissance,0.807608,0.005533,0.529467,0.004365,0.639605,0.004658,5000.0
nf_bot_iot,traffic_only,theft,0.06947,0.003464,0.728716,0.003306,0.126828,0.005757,462.0
nf_bot_iot,weak_cti_concat,benign,0.881995,0.004334,0.948614,0.006957,0.914087,0.004996,3451.0
nf_bot_iot,weak_cti_concat,ddos,0.474412,0.006079,0.475,0.04262,0.474247,0.023905,5000.0
nf_bot_iot,weak_cti_concat,dos,0.475134,0.005909,0.4754,0.041527,0.474809,0.024117,5000.0
nf_bot_iot,weak_cti_concat,reconnaissance,0.917393,0.024768,0.6192,0.021669,0.738965,0.011346,5000.0
nf_bot_iot,weak_cti_concat,theft,0.142441,0.032819,0.567821,0.17478,0.227486,0.055534,462.0
nf_ton_iot,random_cti,backdoor,0.531842,0.001061,0.588881,0.006546,0.5589,0.003219,4311.0
nf_ton_iot,random_cti,benign,0.999226,0.000443,0.688133,0.002845,0.815,0.001957,5000.0
nf_ton_iot,random_cti,ddos,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
nf_ton_iot,random_cti,dos,0.62041,0.004934,0.999296,0.000469,0.76553,0.003703,4264.0
nf_ton_iot,random_cti,injection,0.305348,0.032095,0.008533,0.006592,0.016399,0.012499,5000.0
nf_ton_iot,random_cti,mitm,0.0,0.0,0.0,0.0,0.0,0.0,322.0
nf_ton_iot,random_cti,password,0.195525,0.006083,0.362933,0.035691,0.253736,0.00973,5000.0
