scenario,family,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean
random_cti,analysis,0.030353,0.004684,0.073363,0.01835,0.042874,0.007722,677.0
random_cti,backdoor,0.036987,0.000714,0.704974,0.025614,0.070281,0.001225,583.0
random_cti,benign,0.878829,0.002525,0.469324,0.0004,0.611882,0.000918,37000.0
random_cti,dos,0.207273,0.004445,0.088204,0.019772,0.122686,0.019389,4089.0
random_cti,exploits,0.752548,0.004424,0.114235,0.00342,0.198351,0.005298,11132.0
random_cti,fuzzers,0.178015,0.001444,0.450456,0.004906,0.255182,0.002043,6062.0
random_cti,generic,0.975308,7.3e-05,0.926536,0.001927,0.950296,0.001047,18871.0
random_cti,reconnaissance,0.053607,0.025293,0.017544,0.009617,0.026418,0.013985,3496.0
random_cti,shellcode,0.022154,0.000991,0.362434,0.031746,0.041752,0.001969,378.0
random_cti,worms,0.005143,0.000148,0.681818,0.022727,0.010209,0.000294,44.0
source_gate,analysis,0.030291,0.004138,0.040867,0.006822,0.034788,0.005199,677.0
source_gate,backdoor,0.058023,0.000896,0.801601,0.007922,0.108212,0.001613,583.0
source_gate,benign,0.919457,0.00086,0.514838,0.000432,0.660075,0.000485,37000.0
source_gate,dos,0.355099,0.008897,0.071574,0.00982,0.118999,0.013991,4089.0
source_gate,exploits,0.600455,0.001664,0.360582,0.002072,0.450579,0.001464,11132.0
source_gate,fuzzers,0.204254,0.000273,0.366381,0.002577,0.262285,0.000882,6062.0
source_gate,generic,0.994034,9.4e-05,0.962429,0.0,0.977976,4.6e-05,18871.0
source_gate,reconnaissance,0.212461,0.00801,0.139493,0.00573,0.168359,0.005668,3496.0
source_gate,shellcode,0.029034,0.000138,0.740741,0.007937,0.055878,0.000275,378.0
source_gate,worms,0.008137,6.6e-05,0.75,0.0,0.0161,0.000129,44.0
traffic_only,analysis,0.015645,0.000368,0.025111,0.0,0.019277,0.000279,677.0
traffic_only,backdoor,0.037836,0.00016,0.802744,0.0,0.072266,0.000291,583.0
traffic_only,benign,0.882219,0.002049,0.474126,0.001902,0.616779,0.002104,37000.0
traffic_only,dos,0.180287,0.004776,0.035379,0.000509,0.059142,0.000468,4089.0
traffic_only,exploits,0.749971,0.001868,0.112558,0.002912,0.195731,0.004463,11132.0
traffic_only,fuzzers,0.178768,0.000149,0.446497,0.001568,0.255313,0.000346,6062.0
traffic_only,generic,0.975272,0.000127,0.928638,6.1e-05,0.951384,9.3e-05,18871.0
traffic_only,reconnaissance,0.012764,0.002649,0.004481,0.000874,0.006633,0.001314,3496.0
traffic_only,shellcode,0.023043,0.000145,0.385362,0.004041,0.043486,0.000283,378.0
traffic_only,worms,0.004951,7e-06,0.659091,0.0,0.009828,1.4e-05,44.0
weak_cti_concat,analysis,0.040526,0.008616,0.057607,0.015351,0.047553,0.011204,677.0
weak_cti_concat,backdoor,0.053211,0.000843,0.799314,0.017826,0.099779,0.001621,583.0
weak_cti_concat,benign,0.899662,0.001293,0.46164,0.000136,0.61018,0.000399,37000.0
weak_cti_concat,dos,0.364854,0.001256,0.046548,0.000282,0.082562,0.000475,4089.0
weak_cti_concat,exploits,0.662584,0.008151,0.323691,0.001455,0.434898,0.001171,11132.0
weak_cti_concat,fuzzers,0.19209,0.000348,0.374409,0.001061,0.253911,0.000373,6062.0
weak_cti_concat,generic,0.993182,0.000257,0.962376,0.0,0.977537,0.000124,18871.0
weak_cti_concat,reconnaissance,0.058029,0.002255,0.042525,0.001411,0.049081,0.001745,3496.0
weak_cti_concat,shellcode,0.03063,0.000355,0.840388,0.01305,0.059106,0.000693,378.0
weak_cti_concat,worms,0.006897,0.00014,0.727273,0.0,0.013665,0.000275,44.0
